# The first line is the number of bones/joints.
# All other files are:
# <JOINT INDEX> <PARENT INDEX> <ROTATION ORDER> <JOINT NAME>
72
0 -1 EULER_XYZ mixamorig:Hips
1 0 EULER_XYZ mixamorig:Spine
2 1 EULER_XYZ mixamorig:Spine1
3 2 EULER_XYZ mixamorig:Spine2
4 3 EULER_XYZ mixamorig:Neck
5 4 EULER_XYZ mixamorig:Head
6 5 EULER_XYZ mixamorig:HeadTop_End
7 5 EULER_XYZ mixamorig:RightEye
8 5 EULER_XYZ mixamorig:LeftEye
9 3 EULER_XYZ mixamorig:LeftShoulder
10 9 EULER_XYZ mixamorig:LeftArm
11 10 EULER_XYZ mixamorig:LeftForeArm
12 11 EULER_XYZ mixamorig:LeftHand
13 12 EULER_XYZ mixamorig:LeftHandMiddle1
14 13 EULER_XYZ mixamorig:LeftHandMiddle2
15 14 EULER_XYZ mixamorig:LeftHandMiddle3
16 15 EULER_XYZ mixamorig:LeftHandMiddle4
17 12 EULER_XYZ mixamorig:LeftHandRing1
18 17 EULER_XYZ mixamorig:LeftHandRing2
19 18 EULER_XYZ mixamorig:LeftHandRing3
20 19 EULER_XYZ mixamorig:LeftHandRing4
21 12 EULER_XYZ mixamorig:LeftHandPinky1
22 21 EULER_XYZ mixamorig:LeftHandPinky2
23 22 EULER_XYZ mixamorig:LeftHandPinky3
24 23 EULER_XYZ mixamorig:LeftHandPinky4
25 12 EULER_XYZ mixamorig:LeftHandIndex1
26 25 EULER_XYZ mixamorig:LeftHandIndex2
27 26 EULER_XYZ mixamorig:LeftHandIndex3
28 27 EULER_XYZ mixamorig:LeftHandIndex4
29 12 EULER_XYZ mixamorig:LeftHandThumb1
30 29 EULER_XYZ mixamorig:LeftHandThumb2
31 30 EULER_XYZ mixamorig:LeftHandThumb3
32 31 EULER_XYZ mixamorig:LeftHandThumb4
33 3 EULER_XYZ mixamorig:RightShoulder
34 33 EULER_XYZ mixamorig:RightArm
35 34 EULER_XYZ mixamorig:RightForeArm
36 35 EULER_XYZ mixamorig:RightHand
37 36 EULER_XYZ mixamorig:RightHandMiddle1
38 37 EULER_XYZ mixamorig:RightHandMiddle2
39 38 EULER_XYZ mixamorig:RightHandMiddle3
40 39 EULER_XYZ mixamorig:RightHandMiddle4
41 36 EULER_XYZ mixamorig:RightHandRing1
42 41 EULER_XYZ mixamorig:RightHandRing2
43 42 EULER_XYZ mixamorig:RightHandRing3
44 43 EULER_XYZ mixamorig:RightHandRing4
45 36 EULER_XYZ mixamorig:RightHandPinky1
46 45 EULER_XYZ mixamorig:RightHandPinky2
47 46 EULER_XYZ mixamorig:RightHandPinky3
48 47 EULER_XYZ mixamorig:RightHandPinky4
49 36 EULER_XYZ mixamorig:RightHandIndex1
50 49 EULER_XYZ mixamorig:RightHandIndex2
51 50 EULER_XYZ mixamorig:RightHandIndex3
52 51 EULER_XYZ mixamorig:RightHandIndex4
53 36 EULER_XYZ mixamorig:RightHandThumb1
54 53 EULER_XYZ mixamorig:RightHandThumb2
55 54 EULER_XYZ mixamorig:RightHandThumb3
56 55 EULER_XYZ mixamorig:RightHandThumb4
57 0 EULER_XYZ mixamorig:Skirt1
58 57 EULER_XYZ mixamorig:Skirt2
59 58 EULER_XYZ mixamorig:Skirt3
60 59 EULER_XYZ mixamorig:Skirt4
61 60 EULER_XYZ mixamorig:Skirt5
62 0 EULER_XYZ mixamorig:LeftUpLeg
63 62 EULER_XYZ mixamorig:LeftLeg
64 63 EULER_XYZ mixamorig:LeftFoot
65 64 EULER_XYZ mixamorig:LeftToeBase
66 65 EULER_XYZ mixamorig:LeftToe_End
67 0 EULER_XYZ mixamorig:RightUpLeg
68 67 EULER_XYZ mixamorig:RightLeg
69 68 EULER_XYZ mixamorig:RightFoot
70 69 EULER_XYZ mixamorig:RightToeBase
71 70 EULER_XYZ mixamorig:RightToe_End
